Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Snow Devil,ICE,Ice Age,100,normal,common,3,39709,2be3a9a5-2ac5-4ea4-915d-8cff35c0e72f,0.25,FALSE,FALSE,near_mint,en,CAD,2025-10-06T01:58:56.906Z
Zuran Enchanter,ICE,Ice Age,111,normal,common,3,39698,721edcef-f40a-4d43-9d80-26161dc425cb,0.14,FALSE,FALSE,near_mint,en,CAD,2025-10-06T01:58:56.906Z
Kelsinko Ranger,ICE,Ice Age,33,normal,common,4,39776,8402543e-5406-404f-95c4-800a1dce35f1,0.13,FALSE,FALSE,near_mint,en,CAD,2025-10-06T01:58:56.906Z
Legions of Lim-Dûl,ICE,Ice Age,142,normal,common,5,39667,75b67eb2-b60e-46b4-9d48-11c284957bec,0.13,FALSE,FALSE,near_mint,en,CAD,2025-10-06T03:02:57.099Z
Weakness,3ED,Revised Edition,136,normal,common,5,41289,6774a228-ec9e-47d0-bc43-a92f5caf8398,0.2,FALSE,FALSE,near_mint,en,CAD,2025-10-06T03:02:57.099Z
Torture,HML,Homelands,59a,normal,common,4,39228,2cb8cc6c-7e24-4629-a9ce-5f717f236c37,0.24,FALSE,FALSE,near_mint,en,CAD,2025-10-06T03:02:57.099Z
