Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Added
Word of Binding,4ED,Fourth Edition,172,normal,common,1,40015,715472e1-585b-4379-b335-8f3b5e572d83,0.14,FALSE,FALSE,near_mint,en,CAD,2025-10-06T03:02:57.099Z
Unholy Strength,4ED,Fourth Edition,166,normal,common,1,40021,f52c3c85-1462-406c-8e3b-c25deda9c4e6,0.18,FALSE,FALSE,near_mint,en,CAD,2025-10-06T03:02:57.099Z
Murk Dwellers,4ED,Fourth Edition,148,normal,common,1,40039,7731dc37-2eac-4e60-bb0f-6230205a5323,0.14,FALSE,FALSE,near_mint,en,CAD,2025-10-06T03:02:57.099Z
Frozen Shade,3ED,Revised Edition,112,normal,common,1,41313,6cba931e-94b5-4fcc-8d5f-eb60664baf31,0.18,FALSE,FALSE,near_mint,en,CAD,2025-10-06T03:02:57.099Z
